Manufacturer,Model,Fan_RPM,Noise_level,Water_cooled ,Price,Link
ARCTIC,Freezer 34 eSports DUO,200 - 2100 RPM,24.4 dB,No,54$,https://amz.run/3TNY
Scythe,Mugen 5 Rev. B,300 - 1200 RPM,4 - 24.9 dB,No,49$,https://amz.run/3TNZ
Rosewill,RCX-Z775-LP ,600 - 2600 RPM,16 - 24.5 dB,No,18$,https://bit.ly/3gHvlUd
CRYORIG,M9a,600 - 2200 RPM,26.4 dB,No,28$,https://amz.run/3TNf
Cooler Master ,MasterAir Maker 8,600 - 1800 RPM,8 - 24 dB,No,200$,https://amz.run/3TNh
Enermax ,ETS-T40-BK,800 - 1800 RPM,16 - 26 dB,No,170$,https://amz.run/3TNj
be quiet!,Dark Rock Pro 3,1400 - 1700 RPM,13.2 - 26.1 dB,No,150$,https://amz.run/3TNn
Cooler Master,Hyper 212 EVO,600 - 2000 RPM,9 - 36 dB,No,35$,https://amz.run/3TOL
be quiet!,Dark Rock Pro 4,1500 RPM,12.8 - 24.3 dB,No,90$,https://amz.run/3TOP
Thermaltake,UX100,1800 RPM,26.92 dB,No,20$,https://bit.ly/2DsUgNf
be quiet!,Pure Rock Slim,2000 RPM,13.1 - 25.4 dB,No,35$,https://amz.run/3TOQ
Cooler Master,Hyper 212 LED,600 - 1600 RPM,9 - 31 dB,No,40$,https://amz.run/3TOT
Corsair ,H60 (2018),1700 RPM,28.3 dB,Yes  - 120 mm,86$,https://amz.run/3TP6
be quiet!,Silent Loop,2000 RPM,16.1 - 36.9 dB,Yes  - 120 mm,137$,https://amz.run/3TP8
Corsair,H100i,2700 RPM,37.68 dB,Yes - 240 mm,461$,https://amz.run/3TP9
Corsair,H100i v2,2435 RPM,37.7 dB,Yes - 240 mm,122$,https://amz.run/3TPC
Fractal,Design Celsius,500 - 2000 RPM,32.2 dB,Yes - 240 mm,110$,https://amz.run/3TPD
NZXT,Kraken X63,500 - 2000 RPM,21 - 38 dB,Yes - 280 mm,150$,https://amz.run/3TPE
Corsair,H150i PRO,1600 RPM,25 dB,Yes - 360 mm,318$,https://amz.run/3TPF
